verb         ,verb_form                    ,mood        ,person      ,Gender ,Number ,Mood ,Person ,Tense ,VerbForm ,Definite ,PronType
camino       ,presente                     ,Indicativo  ,yo          ,Masc   ,Sing   ,     ,       ,      ,         ,         ,
caminas      ,presente                     ,Indicativo  ,tú          ,       ,Sing   ,Ind  ,     2 ,Pres  ,Fin      ,         ,
camina       ,presente                     ,Indicativo  ,él          ,       ,Sing   ,Ind  ,     3 ,Pres  ,Fin      ,         ,
caminamos    ,presente                     ,Indicativo  ,nosotros    ,       ,Plur   ,Ind  ,     1 ,Pres  ,Fin      ,         ,
camináis     ,presente                     ,Indicativo  ,vosotros    ,       ,Plur   ,Ind  ,     3 ,Imp   ,Fin      ,         ,
caminan      ,presente                     ,Indicativo  ,ellos       ,       ,Plur   ,Ind  ,     3 ,Pres  ,Fin      ,         ,
caminado     ,pretérito perfecto compuesto ,Indicativo  ,yo          ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito perfecto compuesto ,Indicativo  ,tú          ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito perfecto compuesto ,Indicativo  ,él          ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito perfecto compuesto ,Indicativo  ,nosotros    ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito perfecto compuesto ,Indicativo  ,vosotros    ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito perfecto compuesto ,Indicativo  ,ellos       ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminaba     ,pretérito imperfecto         ,Indicativo  ,yo          ,       ,Sing   ,Ind  ,     3 ,Imp   ,Fin      ,         ,
caminabas    ,pretérito imperfecto         ,Indicativo  ,tú          ,       ,Sing   ,Ind  ,     1 ,Past  ,Fin      ,         ,
caminaba     ,pretérito imperfecto         ,Indicativo  ,él          ,       ,Sing   ,Ind  ,     3 ,Imp   ,Fin      ,         ,
caminábamos  ,pretérito imperfecto         ,Indicativo  ,nosotros    ,       ,Plur   ,Ind  ,     1 ,Imp   ,Fin      ,         ,
caminabais   ,pretérito imperfecto         ,Indicativo  ,vosotros    ,Fem    ,Plur   ,     ,       ,      ,         ,         ,
caminaban    ,pretérito imperfecto         ,Indicativo  ,ellos       ,       ,Plur   ,Ind  ,     3 ,Imp   ,Fin      ,         ,
caminado     ,pretérito pluscuamperfecto   ,Indicativo  ,yo          ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito pluscuamperfecto   ,Indicativo  ,tú          ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito pluscuamperfecto   ,Indicativo  ,él          ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito pluscuamperfecto   ,Indicativo  ,nosotros    ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito pluscuamperfecto   ,Indicativo  ,vosotros    ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
caminado     ,pretérito pluscuamperfecto   ,Indicativo  ,ellos       ,Masc   ,Sing   ,     ,       ,      ,Part     ,         ,
