verb         ,verb_form                    ,mood        ,person      ,  Number  ,Mood ,Person ,Tense ,VerbForm ,Definite ,PronType
camino       ,presente                     ,Indicativo  ,yo          ,   Sing   ,Ind  ,     1 ,Pres  ,Fin      ,         ,
caminas      ,presente                     ,Indicativo  ,tú          ,   Sing   ,Ind  ,     2 ,Pres  ,Fin      ,         ,
camina       ,presente                     ,Indicativo  ,él          ,   Sing   ,Ind  ,     3 ,Pres  ,Fin      ,         ,
caminamos    ,presente                     ,Indicativo  ,nosotros    ,   Plur   ,Ind  ,     1 ,Pres  ,Fin      ,         ,
camináis     ,presente                     ,Indicativo  ,vosotros    ,   Plur   ,Ind  ,     2 ,Pres  ,Fin      ,         ,
caminan      ,presente                     ,Indicativo  ,ellos       ,   Plur   ,Ind  ,     3 ,Pres  ,Fin      ,         ,
caminaba     ,pretérito imperfecto         ,Indicativo  ,yo          ,   Sing   ,Ind  ,     1 ,Imp   ,Fin      ,         ,
caminabas    ,pretérito imperfecto         ,Indicativo  ,tú          ,   Sing   ,Ind  ,     2 ,Imp   ,Fin      ,         ,
caminaba     ,pretérito imperfecto         ,Indicativo  ,él          ,   Sing   ,Ind  ,     3 ,Imp   ,Fin      ,         ,
caminábamos  ,pretérito imperfecto         ,Indicativo  ,nosotros    ,   Plur   ,Ind  ,     1 ,Imp   ,Fin      ,         ,
caminabais   ,pretérito imperfecto         ,Indicativo  ,vosotros    ,   Plur   ,Ind  ,     2 ,Imp   ,Fin      ,         ,
caminaban    ,pretérito imperfecto         ,Indicativo  ,ellos       ,   Plur   ,Ind  ,     3 ,Imp   ,Fin      ,         ,
caminé       ,pretérito perfecto simple    ,Indicativo  ,yo          ,   Sing   ,Ind  ,     1 ,Past  ,Fin      ,         ,
caminaste    ,pretérito perfecto simple    ,Indicativo  ,tú          ,   Sing   ,Sub  ,     2 ,Past  ,Fin      ,         ,
caminó       ,pretérito perfecto simple    ,Indicativo  ,él          ,   Sing   ,Ind  ,     3 ,Past  ,Fin      ,         ,
caminamos    ,pretérito perfecto simple    ,Indicativo  ,nosotros    ,   Plur   ,Ind  ,     1 ,Past  ,Fin      ,         ,
caminasteis  ,pretérito perfecto simple    ,Indicativo  ,vosotros    ,   Plur   ,Ind  ,     2 ,Past  ,Fin      ,         ,         
caminaron    ,pretérito perfecto simple    ,Indicativo  ,ellos       ,   Plur   ,Ind  ,     3 ,Past  ,Fin      ,         ,        
caminaré     ,futuro                       ,Indicativo  ,yo          ,   Sing   ,Ind  ,     1 ,Fut   ,Fin      ,         ,
caminarás    ,futuro                       ,Indicativo  ,tú          ,   Sing   ,Ind  ,     2 ,Fut   ,Fin      ,         ,
caminará     ,futuro                       ,Indicativo  ,él          ,   Sing   ,Ind  ,     3 ,Fut   ,Fin      ,         ,
caminaremos  ,futuro                       ,Indicativo  ,nosotros    ,   Plur   ,Ind  ,     1 ,Fut   ,Fin      ,         ,
caminaréis   ,futuro                       ,Indicativo  ,vosotros    ,   Plur   ,Ind  ,     2 ,Fut   ,Fin      ,         ,
caminarán    ,futuro                       ,Indicativo  ,ellos       ,   Plur   ,Ind  ,     3 ,Fut   ,Fin      ,         ,       
camine       ,presente                     ,Subjuntivo  ,yo          ,   Sing   ,Sub  ,     1 ,Pres  ,Fin      ,         ,
camines      ,presente                     ,Subjuntivo  ,tú          ,   Sing   ,Sub  ,     2 ,Pres  ,Fin      ,         ,
camine       ,presente                     ,Subjuntivo  ,él          ,   Sing   ,Sub  ,     3 ,Pres  ,Fin      ,         ,
caminemos    ,presente                     ,Subjuntivo  ,nosotros    ,   Plur   ,Sub  ,     1 ,Pres  ,Fin      ,         ,
caminéis     ,presente                     ,Subjuntivo  ,vosotros    ,   Plur   ,Sub  ,     2 ,Pres  ,Fin      ,         ,
caminen      ,presente                     ,Subjuntivo  ,ellos       ,   Plur   ,Imp  ,     3 ,Pres  ,Fin      ,         ,  
caminara     ,pretérito imperfecto 1       ,Subjuntivo  ,yo          ,   Sing   ,Sub  ,     1 ,Imp   ,Fin      ,         ,
caminaras    ,pretérito imperfecto 1       ,Subjuntivo  ,tú          ,   Sing   ,Sub  ,     2 ,Imp   ,Fin      ,         ,
caminara     ,pretérito imperfecto 1       ,Subjuntivo  ,él          ,   Sing   ,Sub  ,     3 ,Imp   ,Fin      ,         ,
camináramos  ,pretérito imperfecto 1       ,Subjuntivo  ,nosotros    ,   Plur   ,Sub  ,     1 ,Imp   ,Fin      ,         ,
caminarais   ,pretérito imperfecto 1       ,Subjuntivo  ,vosotros    ,   Plur   ,Sub  ,     2 ,Imp   ,Fin      ,         ,
caminaran    ,pretérito imperfecto 1       ,Subjuntivo  ,ellos       ,   Plur   ,Sub  ,     3 ,Imp   ,Fin      ,         ,   
caminase     ,pretérito imperfecto 2       ,Subjuntivo  ,yo          ,   Sing   ,Sub  ,     1 ,Imp   ,Fin      ,         ,
caminases    ,pretérito imperfecto 2       ,Subjuntivo  ,tú          ,   Sing   ,Sub  ,     2 ,Imp   ,Fin      ,         ,
caminase     ,pretérito imperfecto 2       ,Subjuntivo  ,él          ,   Sing   ,Sub  ,     3 ,Imp   ,Fin      ,         ,
caminásemos  ,pretérito imperfecto 2       ,Subjuntivo  ,nosotros    ,   Plur   ,Sub  ,     1 ,Imp   ,Fin      ,         ,
